Disease,Description,Source,Source_URL,Retrieved_Date,Canonical_Query
hypertension,"Hypertension, also known as high blood pressure, is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure usually does not cause symptoms itself. It is, however, a major risk factor for stroke, coronary artery disease, heart failure, atrial fibrillation, peripheral arterial disease, vision loss, chronic kidney disease, and dementia. Hypertension is a major cause of premature death worldwide.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hypertension,2026-02-07,hypertension
migraine,"Migraine is a neurological disorder characterized by episodes of moderate-to-severe headache, most often unilateral and generally associated with nausea, light sensitivity and sound sensitivity. Other symptoms may include vomiting, unusual pain, dizziness, and cognitive dysfunction. Some people with migraine experience aura, a period of sensory disturbance at the onset of a migraine attack.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Migraine,2026-02-07,migraine
cervical spondylosis,"Spondylosis is the degeneration of the vertebral column from any cause. In the more narrow sense, it refers to spinal osteoarthritis, the age-related degeneration of the spinal column, which is the most common cause of spondylosis. The degenerative process in osteoarthritis chiefly affects the vertebral bodies, the neural foramina and the facet joints. If severe, it may cause pressure on the spinal cord or nerve roots with subsequent sensory or motor disturbances, such as pain, paresthesia, imbalance, and muscle weakness in the limbs.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Spondylosis,2026-02-07,cervical spondylosis
brain hemorrhage,"Intracerebral hemorrhage (ICH), also known as hemorrhagic stroke, is a sudden bleeding into the tissues of the brain, into its ventricles, or into both. An ICH is a type of bleeding within the skull and one kind of stroke. Symptoms can vary dramatically depending on the severity, acuity, and location (anatomically) but can include headache, one-sided weakness, numbness, tingling, or paralysis, speech problems, vision or hearing problems, memory loss, attention problems, coordination problems, balance problems, dizziness or lightheadedness or vertigo, nausea/vomiting, seizures, decreased level of consciousness or total loss of consciousness, neck stiffness, and fever.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Intracerebral_hemorrhage,2026-02-07,brain hemorrhage
jaundice,"Jaundice, also known as icterus, is a yellowish or, less frequently, greenish pigmentation of the skin and sclera due to high bilirubin levels. Jaundice in adults typically indicates the presence of underlying diseases involving abnormal heme metabolism, liver dysfunction, or biliary-tract obstruction. The prevalence of jaundice in adults is rare, while jaundice in babies is common, with an estimated 80% affected during their first week of life. The most commonly associated symptoms of jaundice are itchiness, pale feces, and dark urine.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Jaundice,2026-02-07,jaundice
malaria,"Malaria is a mosquito-borne infectious disease which is transmitted by the bite of Anopheles mosquitoes. Human malaria causes symptoms that typically include fever, fatigue, vomiting, and headaches. In severe cases, it can cause jaundice, seizures, coma, or death. Symptoms usually begin 10 to 15 days after being bitten by an infected Anopheles mosquito. If not properly treated, people may have recurrences of the disease months later. In those who have recently survived an infection, reinfection usually causes milder symptoms. This partial resistance disappears over months to years if the person has no continuing exposure to malaria. The mosquitoes themselves are harmed by malaria, causing reduced lifespans in those infected by it.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Malaria,2026-02-07,malaria
chickenpox,"Chickenpox, also known as varicella, is a highly contagious disease caused by varicella zoster virus (VZV), a member of the herpesvirus family. The disease results in a characteristic skin rash that forms small, itchy blisters, which eventually scab over. It usually starts on the chest, back, and face. It then spreads to the rest of the body. The rash and other symptoms, such as fever, tiredness, and headaches, usually last five to seven days. Complications may occasionally include pneumonia, inflammation of the brain, and bacterial skin infections. The disease is usually more severe in adults than in children.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Chickenpox,2026-02-07,chickenpox
dengue,"Dengue fever is a mosquito-borne disease caused by dengue virus, prevalent in tropical and subtropical areas. Most cases of dengue fever are either asymptomatic or manifest mild symptoms. Symptoms typically begin 3 to 14 days after infection. They may include a high fever, headache, vomiting, muscle and joint pains, and a characteristic skin itching and skin rash. Recovery generally takes two to seven days. In a small proportion of cases, the disease develops into severe dengue with bleeding, low levels of blood platelets, blood plasma leakage, and dangerously low blood pressure.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Dengue_fever,2026-02-07,dengue
typhoid,"Typhoid fever, also known as typhoid, is a disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella Typhi. Symptoms vary from mild to severe, and usually begin six to 30 days after exposure. Often there is a gradual onset of a high fever over several days. This is commonly accompanied by weakness, abdominal pain, constipation, headaches, and mild vomiting. Some people develop a skin rash with rose colored spots. In severe cases, people may experience confusion. Without treatment, symptoms may last weeks or months. Diarrhea may be severe, but is uncommon. Other people may carry it without being affected, but are still contagious. Typhoid fever is a type of enteric fever, along with paratyphoid fever. Salmonella enterica Typhi is believed to infect and replicate only within humans.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Typhoid_fever,2026-02-07,typhoid
hepatitis a,"Hepatitis A is an infectious liver disease caused by Hepatitis A virus (HAV); it is a type of viral hepatitis. Many cases have few or no symptoms, especially in the young. The time between exposure and symptoms, in those who develop them, is two to six weeks. When symptoms occur, they typically last eight weeks and may include nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain. Around 10–15% of people experience a recurrence of symptoms during the six months after the initial infection. Acute liver failure may rarely occur, with this being more common in the elderly.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hepatitis_A,2026-02-07,hepatitis a
hepatitis b,Hepatitis B is an infectious disease caused by the hepatitis B virus (HBV) that affects the liver; it is a type of viral hepatitis. It can cause both acute and chronic infection.,Wikipedia_fallback,https://en.wikipedia.org/wiki/Hepatitis_B,2026-02-07,hepatitis b
hepatitis c,"Hepatitis C is an infectious disease caused by the hepatitis C virus (HCV) that primarily affects the liver; it is a type of viral hepatitis. During the initial infection period, people often have mild or no symptoms. Early symptoms can include fever, dark urine, abdominal pain, and jaundice. The virus persists in the liver, becoming chronic, in about 70% of those initially infected. Early on, chronic infection typically has no symptoms. Over many years however, it often leads to liver disease and occasionally cirrhosis. In some cases, those with cirrhosis will develop serious complications such as liver failure, liver cancer, or dilated blood vessels in the esophagus and stomach.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hepatitis_C,2026-02-07,hepatitis c
hepatitis d,"Hepatitis D is a type of viral hepatitis caused by the hepatitis delta virus (HDV). HDV is one of five known hepatitis viruses: A, B, C, D, and E. HDV is considered to be a satellite because it can propagate only in the presence of the hepatitis B virus (HBV). Transmission of HDV can occur either via simultaneous infection with HBV (coinfection) or superimposed on chronic hepatitis B or hepatitis B carrier state (superinfection).",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hepatitis_D,2026-02-07,hepatitis d
hepatitis e,"Hepatitis E is inflammation of the liver caused by infection with the hepatitis E virus (HEV); it is a type of viral hepatitis. Hepatitis E has mainly a fecal-oral transmission route that is similar to hepatitis A, although the viruses are unrelated. HEV is a positive-sense, single-stranded, nonenveloped, RNA icosahedral virus and one of five known human hepatitis viruses: A, B, C, D, and E.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hepatitis_E,2026-02-07,hepatitis e
alcoholic hepatitis,"Alcoholic hepatitis is hepatitis due to excessive intake of alcohol. Patients typically have a history of at least 10 years of heavy alcohol intake, typically 8–10 drinks per day. It is usually found in association with fatty liver, an early stage of alcoholic liver disease, and may contribute to the progression of fibrosis, leading to cirrhosis. Symptoms may present acutely after a large amount of alcoholic intake in a short time period, or after years of excess alcohol intake. Signs and symptoms of alcoholic hepatitis include jaundice, ascites, fatigue and hepatic encephalopathy. Mild cases are self-limiting, but severe cases have a high risk of death. Severity in alcoholic hepatitis is determined several clinical prediction models such as the Maddrey's Discriminant Function and the MELD score.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Alcoholic_hepatitis,2026-02-07,alcoholic hepatitis
tuberculosis,"Tuberculosis (TB), also known colloquially as the ""white death"", or historically as consumption, is a contagious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but it can also affect other parts of the body. Most infections show no symptoms, in which case it is known as inactive or latent tuberculosis. A small proportion of latent infections progress to active disease that, if left untreated, can be fatal. Typical symptoms of active TB are chronic cough with blood-containing mucus, fever, night sweats, and weight loss. Infection of other organs can cause a wide range of symptoms.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Tuberculosis,2026-02-07,tuberculosis
common cold,"The common cold, or the cold, is a viral infectious disease of the upper respiratory tract that primarily affects the respiratory mucosa of the nose, throat, sinuses, and larynx. Signs and symptoms may appear in as little as two days after exposure to the virus. These may include coughing, sore throat, runny nose, sneezing, headache, fatigue, and fever. People usually recover in seven to ten days, but some symptoms may last up to three weeks. Occasionally, those with other health problems may develop pneumonia. When general symptoms are systemic and the disease is severe, the term ""flu-like illness"" can be used instead.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Common_cold,2026-02-07,common cold
pneumonia,"Pneumonia is an inflammatory condition of the lung primarily affecting the small air sacs known as alveoli. Symptoms typically include some combination of productive or dry cough, chest pain, fever, and difficulty breathing. The severity of the condition is variable.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Pneumonia,2026-02-07,pneumonia
hemorrhoids,"Hemorrhoids, also known as piles, are vascular structures in the anal canal. In their normal state, they are cushions that help with stool control. They become a disease when swollen or inflamed; the unqualified term hemorrhoid is often used to refer to the disease. The signs and symptoms of hemorrhoids depend on the type present. Internal hemorrhoids often result in painless, bright red rectal bleeding when defecating. External hemorrhoids often result in pain and swelling in the area of the anus. If bleeding occurs, it is usually darker. Symptoms frequently get better after a few days. A skin tag may remain after the healing of an external hemorrhoid.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hemorrhoid,2026-02-07,hemorrhoids
heart attack,"A myocardial infarction (MI), commonly known as a heart attack, occurs when blood flow decreases or stops in one of the arteries of the heart, causing infarction to the heart muscle. The most common symptom is retrosternal chest pain or discomfort that classically radiates to the left shoulder, arm, or jaw. The pain may occasionally feel like heartburn. This is the dangerous type of acute coronary syndrome.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Myocardial_infarction,2026-02-07,heart attack
varicose veins,"Varicose veins, also known as varicoses, are a medical condition in which superficial veins become enlarged and twisted. Although usually just a cosmetic ailment, in some cases they cause fatigue, pain, itching, and nighttime leg cramps. These veins typically develop in the legs, just under the skin. Their complications can include bleeding, skin ulcers, and superficial thrombophlebitis. Varices in the scrotum are known as varicocele, while those around the anus are known as hemorrhoids. The physical, social, and psychological effects of varicose veins can lower their bearers' quality of life.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Varicose_veins,2026-02-07,varicose veins
hypothyroidism,"Hypothyroidism is an endocrine disease in which the thyroid gland does not produce enough thyroid hormones. It can cause a number of symptoms, such as poor ability to tolerate cold, extreme fatigue, muscle aches, constipation, slow heart rate, depression, and weight gain. Occasionally, there may be swelling of the front part of the neck due to goiter. Untreated cases of hypothyroidism during pregnancy can lead to delays in growth and intellectual development in the baby or congenital iodine deficiency syndrome.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hypothyroidism,2026-02-07,hypothyroidism
hyperthyroidism,"Hyperthyroidism is a endocrine disease in which the thyroid gland produces excessive amounts of thyroid hormones. Thyrotoxicosis is a condition that occurs due to elevated levels of thyroid hormones of any cause and therefore includes hyperthyroidism. Some, however, use the terms interchangeably. Signs and symptoms vary between people and may include irritability, muscle weakness, sleeping problems, a fast heartbeat, heat intolerance, diarrhea, enlargement of the thyroid, hand tremor, and weight loss. Symptoms are typically less severe in the elderly and during pregnancy. An uncommon but life-threatening complication is thyroid storm in which an event such as an infection results in worsening symptoms such as confusion and a high temperature; this often results in death. The opposite is hypothyroidism, when the thyroid gland does not make enough thyroid hormone.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hyperthyroidism,2026-02-07,hyperthyroidism
hypoglycemia,"Hypoglycemia, also spelled hypoglycaemia or hypoglycæmia, sometimes called low blood sugar, is a fall in blood sugar to levels below normal, typically below 70 mg/dL (3.9 mmol/L). Whipple's triad is used to properly identify hypoglycemic episodes. It is defined as blood glucose below 70 mg/dL (3.9 mmol/L), symptoms associated with hypoglycemia, and resolution of symptoms when blood sugar returns to normal. Hypoglycemia may result in headache, tiredness, clumsiness, trouble talking, confusion, fast heart rate, sweating, shakiness, nervousness, hunger, loss of consciousness, seizures, or death. Symptoms typically come on quickly. Symptoms can persist after blood-glucose levels are restored to normal.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hypoglycemia,2026-02-07,hypoglycemia
osteoarthritis,"Osteoarthritis is a type of degenerative joint disease that results from breakdown of joint cartilage and underlying bone. A form of arthritis, it is believed to be the fourth leading cause of disability in the world, with an estimated 240 million people worldwide having activity-limiting osteoarthritis. The most common symptoms are joint pain and stiffness. Usually the symptoms progress slowly over years. Other symptoms may include joint swelling, decreased range of motion, and, when the back is affected, weakness or numbness of the arms and legs. The most commonly involved joints are the two near the ends of the fingers and the joint at the base of the thumbs, the knee and hip joints, and the joints of the neck and lower back. The symptoms can interfere with work and normal daily activities. Unlike some other types of arthritis, only the joints, not internal organs, are affected.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Osteoarthritis,2026-02-07,osteoarthritis
arthritis,"Arthritis is a general medical term used to describe a disorder in which the smooth cartilagenous layer that lines a joint is lost, resulting in bone grinding on bone during joint movement. Symptoms generally include joint pain and stiffness. Other symptoms may include redness, warmth, swelling, and decreased range of motion of the affected joints. In certain types of arthritis, other organs, such as the skin, are also affected. Onset can be gradual or sudden.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Arthritis,2026-02-07,arthritis
vertigo paroxysmal positional vertigo,"Benign paroxysmal positional vertigo (BPPV) is a disorder arising from a problem in the inner ear. Symptoms are repeated, brief periods of vertigo with movement, characterized by a spinning sensation upon changes in the position of the head. This can occur with turning in bed or changing position. Each episode of vertigo typically lasts less than one minute. Nausea is commonly associated. BPPV is one of the most common causes of vertigo.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Benign_paroxysmal_positional_vertigo,2026-02-07,benign paroxysmal positional vertigo
acne,"Acne, also known as acne vulgaris, is a long-term skin condition that occurs when dead skin cells and oil from the skin clog hair follicles. Typical features of the condition include blackheads or whiteheads, pimples, oily skin, and possible scarring. It primarily affects skin with a relatively high number of oil glands, including the face, upper part of the chest, and back. The resulting appearance can lead to lack of confidence, anxiety, reduced self-esteem, and, in extreme cases, depression or thoughts of suicide.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Acne,2026-02-07,acne
urinary tract infection,"A urinary tract infection (UTI) is an infection that affects a part of the urinary tract, which includes the bladder, urethra and the kidney. Lower UTIs affect the bladder (cystitis) or urethra while upper UTIs affect the kidney (pyelonephritis). Symptoms from a lower UTI include burning or pain during urination, pain in the lower abdomen and the urge to urinate even when the bladder is empty. Symptoms of a kidney infection are more systemic and include fever or flank pain, usually in addition to the symptoms of a lower UTI. Rarely, the urine may appear bloody. Symptoms may be less clear in very young or old people.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Urinary_tract_infection,2026-02-07,urinary tract infection
psoriasis,"Psoriasis is a long-lasting, noncontagious autoimmune disease characterized by patches of abnormal skin. These areas are red, pink, or purple, dry, itchy, and scaly. Psoriasis varies in severity from small localized patches to complete body coverage. Injury to the skin can trigger psoriatic skin changes at that spot, which is known as the Koebner phenomenon.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Psoriasis,2026-02-07,psoriasis
impetigo,"Impetigo is a contagious bacterial infection that involves the superficial skin. The most common presentation is yellowish crusts on the face, arms, or legs. Less commonly there may be large blisters which affect the groin or armpits. The lesions may be painful or itchy. Fever is uncommon.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Impetigo,2026-02-07,impetigo
panic disorder,"Panic disorder is an anxiety disorder characterized by reoccurring unexpected panic attacks. Panic attacks are sudden periods of intense fear that may include palpitations, sweating, shaking, shortness of breath, numbness, or a sense of impending doom. The maximum degree of symptoms occurs within minutes. There may be ongoing worries about having further attacks and avoidance of places where attacks have occurred in the past.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Panic_disorder,2026-02-07,panic disorder
vocal cord polyp,"Vocal cord nodules are bilaterally symmetrical benign white masses (nodules) that form at the midpoint of the vocal folds. Although diagnosis involves a physical examination of the head and neck, as well as perceptual voice measures, visualization of the vocal nodules via laryngeal endoscopy remains the primary diagnostic method.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Vocal_cord_nodule,2026-02-07,vocal cord polyp
turner syndrome,"Turner syndrome (TS), commonly known as 45,X, or 45,X0, is a chromosomal disorder in which cells of females have only one X chromosome instead of two, or are partially missing an X chromosome leading to the complete or partial deletion of the pseudoautosomal regions in the affected X chromosome. Humans typically have two sex chromosomes, XX for females or XY for males. The chromosomal abnormality is often present in just some cells, in which case it is known as Turner syndrome with mosaicism. 45,X0 with mosaicism can occur in males or females, but Turner syndrome without mosaicism only occurs in females. Signs and symptoms vary among those affected but often include additional skin folds on the neck, arched palate, low-set ears, low hairline at the nape of the neck, short stature, and lymphedema of the hands and feet. Those affected do not normally develop menstrual periods or mammary glands without hormone treatment and are unable to reproduce without assistive reproductive technology. Small chin (micrognathia), loose folds of skin on the neck, slanted eyelids and prominent ears are found in Turner syndrome, though not all will show it. Heart defects, Type II diabetes, and hypothyroidism occur in the disorder more frequently than average. Most people with Turner syndrome have normal intelligence; however, some have problems with spatial visualization that can hinder learning mathematics. Ptosis and conductive hearing loss also occur more often than average.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Turner_syndrome,2026-02-07,turner syndrome
cryptorchidism,"Cryptorchidism, also known as undescended testis (UDT), is the failure of one or both testicles to descend into the scrotum. The word is from Ancient Greek κρυπτός (kryptos) 'hidden' and ὄρχις (orchis) 'testicle'. It is the most common birth defect of the male genital tract. About 3% of full-term and 30% of premature infant boys are born with at least one undescended testis. However, about 80% of cryptorchid testes descend by the first year of life, making the true incidence of cryptorchidism around 1% overall. Cryptorchidism may develop after infancy, sometimes as late as young adulthood, but that is exceptional.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Cryptorchidism,2026-02-07,cryptorchidism
poisoning due to ethylene glycol,"Ethylene glycol poisoning is poisoning caused by drinking ethylene glycol. Early symptoms include intoxication, vomiting and abdominal pain. Later symptoms may include a decreased level of consciousness, headache, and seizures. Long term outcomes may include kidney failure and brain damage. Toxicity and death may occur after drinking even in a small amount as ethylene glycol is more toxic than other diols.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Ethylene_glycol_poisoning,2026-02-07,ethylene glycol poisoning
atrophic vaginitis,"Atrophic vaginitis is inflammation of the vagina as a result of tissue thinning due to low estrogen levels. Symptoms may include pain during penetrative sex, vaginal itchiness or dryness, and an urge to urinate or burning with urination. It generally does not resolve without ongoing treatment. Complications may include urinary tract infections. Atrophic vaginitis as well as vulvovaginal atrophy, bladder and urethral dysfunctions are a group of conditions that constitute genitourinary syndrome of menopause (GSM). Diagnosis is typically based on symptoms.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Atrophic_vaginitis,2026-02-07,atrophic vaginitis
fracture of the hand,"A hand is a prehensile, multi-fingered appendage located at the end of the forearm or forelimb of primates such as humans, chimpanzees, monkeys, and lemurs. A few other vertebrates such as the koala are often described as having ""hands"" instead of paws on their front limbs. The raccoon is usually described as having ""hands"" though opposable thumbs are lacking.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hand,2026-02-07,hand fracture
cellulitis or abscess of mouth,"An abscess is a collection of pus that has built up within the tissue of the body, usually caused by bacterial infection. Signs and symptoms of abscesses include redness, pain, warmth, and swelling. The swelling may feel fluid-filled when pressed. The area of redness often extends beyond the swelling. Carbuncles and boils are types of abscess that often involve hair follicles, with carbuncles being larger. A cyst is related to an abscess, but it contains a material other than pus, and a cyst has a clearly defined wall. Abscesses can also form internally on internal organs and after surgery.",Wikipedia_search,https://en.wikipedia.org/wiki/Abscess,2026-02-07,oral abscess | wiki_title:Abscess
eye alignment disorder,"Strabismus is an eye disorder in which the eyes do not properly align with each other when looking at an object. The eye that is pointed at an object can alternate. The condition may be present occasionally or constantly. If present during a large part of childhood, it may result in amblyopia and loss of depth perception. If onset is during adulthood, it is more likely to result in double vision.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Strabismus,2026-02-07,strabismus
headache after lumbar puncture,"Post-dural-puncture headache (PDPH) is a complication of puncture of the dura mater. The headache is severe and described as ""searing and spreading like hot metal"", involving the back and front of the head and spreading to the neck and shoulders, sometimes involving neck stiffness. It is exacerbated by movement and sitting or standing and is relieved to some degree by lying down. Nausea, vomiting, pain in arms and legs, hearing loss, tinnitus, vertigo, dizziness and paraesthesia of the scalp are also common.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Post-dural-puncture_headache,2026-02-07,post-dural puncture headache
pyloric stenosis,Pyloric stenosis is a narrowing of the opening from the stomach to the first part of the small intestine. Symptoms include projectile vomiting without the presence of bile. This most often occurs after the baby is fed. The typical age that symptoms become obvious is two to twelve weeks old.,Wikipedia_fallback,https://en.wikipedia.org/wiki/Pyloric_stenosis,2026-02-07,pyloric stenosis
salivary gland disorder,"Salivary gland diseases (SGDs) are multiple and varied in cause. There are three paired major salivary glands in humans: the parotid glands, the submandibular glands, and the sublingual glands. There are also about 800–1,000 minor salivary glands in the mucosa of the mouth. The parotid glands are in front of the ears, one on side, and secrete mostly serous saliva, via the parotid ducts, into the mouth, usually opening roughly opposite the second upper molars. The submandibular gland is medial to the angle of the mandible, and it drains its mixture of serous and mucous saliva via the submandibular duct into the mouth, usually opening in a punctum in the floor of mouth. The sublingual gland is below the tongue, on the floor of the mouth; it drains its mostly mucous saliva into the mouth via about 8–20 ducts, which open along the plica sublingualis, a fold of tissue under the tongue.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Salivary_gland_disease,2026-02-07,salivary gland disorder
